2017-11-27,0
2017-11-06,0
2017-08-28,0
2017-06-26,0
2018-01-15,1
2018-03-05,8
2017-05-29,0
2017-02-13,0
2017-08-07,0
2017-10-02,2
2017-07-24,0
2017-05-22,0
2017-04-24,0
2017-03-06,0
2017-11-20,0
2017-05-01,0
2017-03-20,0
2017-10-16,1
2018-04-02,9
2017-04-03,0
2017-03-27,0
2018-02-26,1
2018-04-09,98
2017-05-08,0
2017-09-04,2
2017-01-23,0
2018-02-05,1
2017-09-18,12
2017-01-02,0
2018-03-12,9
2017-01-09,0
2017-12-18,1
2017-09-11,3
2018-01-08,0
2018-01-01,0
2018-01-29,1
2018-03-19,8
2017-12-11,2
2017-10-23,0
2018-01-22,9
2017-07-10,0
2017-10-09,0
2017-11-13,63
2017-08-14,0
2017-02-06,0
2017-07-17,0
2018-03-26,47
2017-02-27,0
2017-02-20,0
2017-07-31,0
2017-06-12,0
2017-04-17,0
2018-04-16,20
2017-04-10,0
2018-02-12,0
2017-03-13,0
2017-01-30,0
2017-06-19,0
2017-05-15,0
2018-02-19,0
2017-10-30,3
2017-01-16,0
2017-12-04,1
2017-09-25,5
2017-06-05,0
2017-07-03,0
2017-12-25,0
2017-08-21,0
